,0
369,314.40506
370,314.01187
371,313.67807
372,313.07437
373,312.31534
374,311.41144
375,310.10907
376,308.6979
377,307.07327
378,305.216
379,303.26822
380,301.5222
381,300.29855
382,299.6564
383,299.55164
384,297.6647
385,294.4068
386,290.01144
387,284.8647
388,279.72876
389,274.74554
390,269.84793
391,265.15045
392,260.8728
393,256.9456
394,253.1687
395,249.58649
396,246.16441
397,242.87996
398,240.06891
399,237.79318
400,235.99716
401,234.39107
402,233.08992
403,231.90982
404,230.7648
405,229.32661
406,227.7972
407,226.50102
408,225.34093
409,224.10233
410,222.81749
411,221.70251
412,221.08699
413,220.9797
414,221.47594
415,222.23778
416,223.28035
417,224.3855
418,225.64642
419,227.0307
420,228.49226
421,230.12021
422,231.74847
423,233.15195
424,234.39899
425,235.73936
426,237.04973
427,238.04802
428,238.76482
429,239.24118
430,239.37206
431,239.18782
432,238.81717
433,238.20647
434,237.46759
435,236.8575
436,235.9083
437,234.39082
438,232.41
439,230.26662
440,227.93855
441,225.40315
442,223.69395
443,222.5333
444,222.09291
445,222.207
446,223.01231
447,223.8488
448,224.50957
449,224.79231
450,224.82391
451,224.431
452,223.81737
453,223.29202
454,222.90659
455,222.71251
456,222.37184
457,221.89847
458,221.41339
459,221.02016
460,220.28905
461,219.40103
462,218.66669
463,218.1832
464,217.85863
465,217.51274
466,217.44553
467,217.36008
468,217.3485
469,217.4316
470,217.60565
471,217.47766
472,216.88318
473,215.65184
474,213.99677
475,212.28038
476,210.36353
477,208.46086
478,206.46071
479,204.43167
480,202.54865
481,201.17989
482,200.22171
483,199.32915
484,198.59442
485,197.9204
486,197.27243
487,196.90059
488,196.79129
489,196.93883
490,197.22096
491,197.34721
492,197.35515
493,197.28494
494,197.00536
495,196.77722
496,196.67873
497,196.9274
498,197.63106
499,198.63336
500,199.39745
501,199.8626
502,199.87642
503,199.86638
504,199.60251
505,199.11676
506,198.52129
507,197.88615
508,197.50305
509,197.37714
510,197.33827
511,197.44563
512,197.60248
513,198.06612
